id_venta,fecha,region,vendedor,producto,cantidad,precio_unitario,ingreso,id_cliente
67,2024-03-07,Norte,Luis,A,14.0,20.0,280.0,1031
68,2024-03-08,Norte,Carlos,D,11.0,60.0,660.0,1036
69,2024-03-09,Oeste,Ana,D,5.0,50.0,250.0,1009
70,2024-03-10,Este,Carlos,B,5.0,66.0,330.0,1007
71,2024-03-11,Oeste,Marta,B,5.0,43.0,215.0,1014
72,2024-03-12,Norte,Marta,C,3.0,40.0,120.0,1004
73,2024-03-13,Este,Luis,B,2.0,25.0,50.0,1028
74,2024-03-14,Sur,Luis,A,11.0,12.0,132.0,
75,2024-03-15,Sur,Carlos,C,11.0,18.0,198.0,1050
76,2024-03-16,Norte,Luis,C,3.0,57.0,171.0,1041
77,2024-03-17,Este,Carlos,A,6.0,49.0,294.0,1052
78,2024-03-18,Oeste,Luis,D,13.0,25.0,325.0,1004
79,2024-03-19,Este,Ana,C,12.0,34.0,408.0,1046
80,2024-03-20,Norte,Ana,D,9.0,54.0,486.0,1036
81,2024-03-21,Este,Sofía,D,,35.0,490.0,1009
82,2024-03-22,Sur,Luis,C,5.0,35.0,175.0,1036
83,2024-03-23,Oeste,Luis,B,12.0,27.0,324.0,1047
84,2024-03-24,Oeste,Marta,B,14.0,53.0,742.0,1031
85,2024-03-25,Norte,Marta,C,9.0,72.0,648.0,
86,2024-03-26,Este,Marta,A,3.0,26.0,78.0,
87,2024-03-27,Oeste,Sofía,A,5.0,28.0,140.0,1026
88,2024-03-28,Oeste,Ana,C,8.0,42.0,336.0,
89,2024-03-29,Este,Carlos,D,4.0,21.0,84.0,1018
90,2024-03-30,Este,Carlos,D,2.0,45.0,90.0,1009
91,2024-03-31,Norte,Marta,D,3.0,71.0,213.0,1046
92,2024-04-01,Este,Sofía,A,,53.0,742.0,1011
93,2024-04-02,Sur,Ana,B,6.0,19.0,114.0,1023
94,2024-04-03,Norte,Sofía,B,9.0,22.0,198.0,1029
95,2024-04-04,Norte,Sofía,C,7.0,13.0,91.0,1049
96,2024-04-05,Este,Carlos,C,12.0,77.0,924.0,1059
97,2024-04-06,Este,Luis,A,2.0,32.0,64.0,
98,2024-04-07,Este,Luis,C,4.0,28.0,112.0,1044
99,2024-04-08,Este,Ana,C,9.0,69.0,621.0,
100,2024-04-09,Oeste,Marta,D,12.0,30.0,360.0,1052
101,2024-04-10,Este,Carlos,C,7.0,24.0,168.0,
102,2024-04-11,Sur,Sofía,A,10.0,26.0,260.0,1041
103,2024-04-12,Este,Luis,D,12.0,36.0,432.0,1009
104,2024-04-13,Este,Carlos,A,10.0,12.0,120.0,1015
105,2024-04-14,Norte,Sofía,A,12.0,54.0,648.0,1029
106,2024-04-15,Norte,Carlos,D,14.0,38.0,532.0,1058
107,2024-04-16,Este,Ana,B,4.0,77.0,308.0,1030
108,2024-04-17,Sur,Ana,C,7.0,63.0,441.0,1001
109,2024-04-18,Este,Carlos,A,4.0,35.0,140.0,1031
110,2024-04-19,Sur,Ana,C,6.0,59.0,354.0,1049
111,2024-04-20,Norte,Carlos,B,1.0,66.0,66.0,
112,2024-04-21,Norte,Sofía,D,10.0,22.0,220.0,1014
113,2024-04-22,Sur,Ana,C,4.0,19.0,76.0,1022
114,2024-04-23,Oeste,Carlos,D,12.0,17.0,204.0,1033
115,2024-04-24,Sur,Carlos,D,11.0,11.0,121.0,1035
116,2024-04-25,Sur,Marta,D,5.0,31.0,155.0,
117,2024-04-26,Este,Marta,A,7.0,65.0,455.0,1028
118,2024-04-27,Oeste,Carlos,D,10.0,63.0,630.0,1038
119,2024-04-28,Sur,Marta,C,6.0,35.0,210.0,1018
120,2024-04-29,Este,Ana,B,3.0,43.0,129.0,1004
121,2024-04-30,Sur,Marta,B,1.0,63.0,63.0,1028
122,2024-05-01,Este,Marta,C,8.0,74.0,592.0,1031
123,2024-05-02,Sur,Carlos,A,8.0,28.0,224.0,1013
124,2024-05-03,Este,Marta,A,11.0,55.0,605.0,1047
125,2024-05-04,Este,Carlos,D,2.0,50.0,100.0,1024
126,2024-05-05,Este,Marta,D,1.0,52.0,52.0,1004
127,2024-05-06,Oeste,Marta,C,11.0,65.0,715.0,1038
128,2024-05-07,Norte,Sofía,D,11.0,63.0,693.0,1018
129,2024-05-08,Este,Marta,B,,36.0,432.0,1051
130,2024-05-09,Sur,Marta,C,1.0,62.0,62.0,1002
131,2024-05-10,Sur,Luis,A,10.0,11.0,110.0,1054
132,2024-05-11,Norte,Ana,B,14.0,32.0,448.0,1038
133,2024-05-12,Norte,Ana,A,11.0,23.0,253.0,1052
134,2024-05-13,Sur,Ana,B,7.0,26.0,182.0,1027
135,2024-05-14,Oeste,Sofía,B,7.0,72.0,504.0,
136,2024-05-15,Norte,Ana,B,6.0,39.0,234.0,1036
137,2024-05-16,Sur,Luis,B,1.0,13.0,13.0,
138,2024-05-17,Oeste,Luis,A,11.0,43.0,473.0,1021
139,2024-05-18,Oeste,Carlos,B,8.0,12.0,96.0,1060
140,2024-05-19,Norte,Luis,D,8.0,18.0,144.0,1046
141,2024-05-20,Norte,Marta,B,14.0,35.0,490.0,
142,2024-05-21,Este,Ana,C,11.0,39.0,429.0,1013
143,2024-05-22,Norte,Marta,A,14.0,24.0,336.0,1036
144,2024-05-23,Sur,Sofía,B,2.0,54.0,108.0,
145,2024-05-24,Sur,Luis,D,14.0,43.0,602.0,1018
146,2024-05-25,Oeste,Ana,C,8.0,17.0,136.0,
147,2024-05-26,Norte,Luis,A,6.0,67.0,402.0,
148,2024-05-27,Este,Sofía,C,,17.0,136.0,1035
149,2024-05-28,Este,Ana,D,1.0,33.0,33.0,1051
150,2024-05-29,Norte,Ana,B,14.0,20.0,280.0,1033
151,2024-05-30,Oeste,Ana,A,9.0,75.0,675.0,1047
152,2024-05-31,Oeste,Carlos,D,1.0,28.0,28.0,
153,2024-06-01,Sur,Ana,B,13.0,70.0,910.0,1052
154,2024-06-02,Oeste,Ana,D,7.0,77.0,539.0,1021
155,2024-06-03,Este,Sofía,B,2.0,23.0,46.0,1041
156,2024-06-04,Oeste,Luis,B,9.0,9.0,81.0,1057
157,2024-06-05,Oeste,Sofía,D,,8.0,8.0,1041
158,2024-06-06,Este,Marta,A,8.0,21.0,168.0,1021
159,2024-06-07,Sur,Marta,A,11.0,36.0,396.0,1053
160,2024-06-08,Norte,Sofía,D,2.0,19.0,38.0,1051
161,2024-06-09,Este,Carlos,D,12.0,76.0,912.0,1045
162,2024-06-10,Norte,Marta,D,9.0,42.0,378.0,1024
163,2024-06-11,Oeste,Sofía,A,5.0,69.0,345.0,1040
164,2024-06-12,Oeste,Carlos,A,,9.0,36.0,1043
165,2024-06-13,Norte,Luis,B,1.0,17.0,17.0,1015
166,2024-06-14,Este,Carlos,C,3.0,40.0,120.0,
167,2024-06-15,Norte,Luis,D,4.0,19.0,76.0,1042
168,2024-06-16,Norte,Ana,D,13.0,19.0,247.0,1004
169,2024-06-17,Sur,Carlos,B,8.0,9.0,72.0,1019
170,2024-06-18,Oeste,Sofía,D,3.0,27.0,81.0,1057
171,2024-06-19,Oeste,Luis,B,11.0,62.0,682.0,1049
172,2024-06-20,Este,Ana,A,7.0,65.0,455.0,1038
173,2024-06-21,Este,Luis,B,12.0,44.0,528.0,1035
174,2024-06-22,Este,Marta,A,11.0,21.0,231.0,1027
175,2024-06-23,Norte,Sofía,C,14.0,40.0,560.0,
176,2024-06-24,Sur,Marta,D,10.0,52.0,520.0,1025
177,2024-06-25,Oeste,Marta,A,2.0,18.0,36.0,1059
178,2024-06-26,Sur,Marta,A,8.0,37.0,296.0,1005
179,2024-06-27,Norte,Ana,A,6.0,67.0,402.0,1038
180,2024-06-28,Norte,Ana,A,12.0,38.0,456.0,1019
181,2024-06-29,Este,Sofía,C,3.0,41.0,123.0,1030
182,2024-06-30,Norte,Luis,C,7.0,66.0,462.0,1044
183,2024-07-01,Oeste,Marta,D,12.0,56.0,672.0,1005
184,2024-07-02,Oeste,Luis,B,9.0,19.0,171.0,1007
185,2024-07-03,Este,Ana,D,1.0,51.0,51.0,1041
186,2024-07-04,Sur,Ana,D,12.0,74.0,888.0,1047
187,2024-07-05,Oeste,Luis,D,6.0,23.0,138.0,1005
188,2024-07-06,Este,Carlos,A,10.0,72.0,720.0,
189,2024-07-07,Sur,Ana,B,10.0,50.0,500.0,1031
190,2024-07-08,Sur,Carlos,D,9.0,56.0,504.0,
191,2024-07-09,Sur,Luis,D,6.0,31.0,186.0,1010
192,2024-07-10,Oeste,Luis,A,,11.0,66.0,
193,2024-07-11,Norte,Carlos,D,2.0,9.0,18.0,1046
194,2024-07-12,Norte,Marta,D,8.0,55.0,440.0,1057
195,2024-07-13,Este,Sofía,A,5.0,78.0,390.0,1057
196,2024-07-14,Sur,Carlos,A,6.0,51.0,306.0,1013
197,2024-07-15,Oeste,Luis,B,3.0,33.0,99.0,1012
198,2024-07-16,Norte,Ana,B,11.0,63.0,693.0,
199,2024-07-17,Oeste,Marta,A,13.0,76.0,988.0,1031
200,2024-07-18,Norte,Carlos,A,6.0,23.0,138.0,1015
201,2024-07-19,Sur,Carlos,A,6.0,15.0,90.0,1045
202,2024-07-20,Oeste,Marta,B,7.0,76.0,532.0,
203,2024-07-21,Norte,Sofía,B,2.0,11.0,22.0,1020
204,2024-07-22,Este,Ana,B,11.0,71.0,781.0,
205,2024-07-23,Este,Sofía,B,13.0,18.0,234.0,1005
206,2024-07-24,Sur,Sofía,C,8.0,16.0,128.0,1044
207,2024-07-25,Norte,Luis,A,1.0,27.0,27.0,1027
208,2024-07-26,Este,Carlos,B,5.0,30.0,150.0,1037
209,2024-07-27,Sur,Luis,C,3.0,31.0,93.0,1043
210,2024-07-28,Oeste,Carlos,A,12.0,10.0,120.0,1015
211,2024-07-29,Este,Carlos,D,12.0,69.0,828.0,1004
212,2024-07-30,Sur,Ana,D,6.0,67.0,402.0,1037
213,2024-07-31,Norte,Sofía,B,6.0,56.0,336.0,
214,2024-08-01,Este,Carlos,D,12.0,73.0,876.0,1021
215,2024-08-02,Sur,Ana,B,2.0,75.0,150.0,1040
216,2024-08-03,Este,Carlos,D,11.0,79.0,869.0,1009
217,2024-08-04,Oeste,Marta,C,14.0,35.0,490.0,1025
218,2024-08-05,Sur,Marta,A,7.0,52.0,364.0,1009
219,2024-08-06,Oeste,Carlos,A,11.0,62.0,682.0,1008
220,2024-08-07,Este,Marta,B,10.0,55.0,550.0,1057
221,2024-08-08,Este,Luis,C,13.0,64.0,832.0,
222,2024-08-09,Oeste,Luis,A,1.0,56.0,56.0,
223,2024-08-10,Oeste,Ana,C,10.0,35.0,350.0,1052
224,2024-08-11,Oeste,Carlos,A,6.0,49.0,294.0,1010
225,2024-08-12,Oeste,Luis,B,13.0,22.0,286.0,
226,2024-08-13,Norte,Marta,A,13.0,76.0,988.0,1001
227,2024-08-14,Sur,Sofía,D,5.0,72.0,360.0,1019
228,2024-08-15,Oeste,Marta,C,9.0,51.0,459.0,1019
229,2024-08-16,Sur,Ana,D,7.0,63.0,441.0,1053
230,2024-08-17,Norte,Ana,A,8.0,32.0,256.0,1010
231,2024-08-18,Este,Luis,A,12.0,35.0,420.0,
232,2024-08-19,Oeste,Ana,A,10.0,44.0,440.0,1014
233,2024-08-20,Este,Sofía,C,11.0,27.0,297.0,
234,2024-08-21,Oeste,Carlos,D,10.0,9.0,90.0,1041
235,2024-08-22,Este,Carlos,C,4.0,36.0,144.0,1018
236,2024-08-23,Norte,Luis,B,9.0,60.0,540.0,1030
237,2024-08-24,Oeste,Ana,D,6.0,26.0,156.0,1009
238,2024-08-25,Sur,Sofía,A,6.0,57.0,342.0,1031
239,2024-08-26,Oeste,Carlos,A,2.0,51.0,102.0,1049
240,2024-08-27,Oeste,Marta,C,3.0,38.0,114.0,1015
229,2024-08-16,Sur,Ana,D,7.0,63.0,441.0,
195,2024-07-13,Este,Sofía,A,5.0,78.0,390.0,1047
89,2024-03-29,Este,Carlos,D,4.0,21.0,84.0,1026
96,2024-04-05,Este,Carlos,C,12.0,77.0,924.0,1021
215,2024-08-02,Sur,Ana,B,2.0,75.0,150.0,1055
